LSTM,CNN_LSTM,REAL_VALUE
761.67346,757.88153,764.6
761.2068,757.6285,764.35
760.82434,757.2942,764.25
760.5527,757.1103,765.0
760.8221,757.7393,764.75
760.97943,757.7392,764.8
760.9104,757.7348,764.3
760.7646,757.27655,764.65
760.7224,757.43805,764.7
760.7056,757.5804,763.9
760.33154,756.88983,764.55
760.27094,757.2305,764.2
760.286,757.07733,765.0
760.42426,757.7245,766.2
761.1352,759.04144,766.55
761.8326,759.74164,766.9
762.2841,760.192,768.35
763.21625,761.5508,768.05
763.84674,761.7462,768.45
764.1008,762.0757,766.75
763.77466,760.6469,765.9
763.0049,759.3906,765.2
762.23773,758.4548,764.35
761.40094,757.4564,764.6
760.89703,757.42725,764.95
760.8893,757.8022,763.85
760.4933,756.92944,764.7
760.4349,757.3622,765.05
760.8589,757.887,764.15
760.6308,757.2216,764.0
760.23535,756.8207,763.85
760.14905,756.58813,763.25
759.73114,755.9953,762.1
758.843,754.75507,763.45
758.8677,755.60345,763.8
759.2889,756.31036,763.8
759.30634,756.49133,763.75
759.388,756.45276,764.05
759.6971,756.6941,763.8
759.68964,756.56445,763.65
759.51575,756.3633,763.15
759.298,755.84503,763.15
759.07104,755.67896,762.8
758.7921,755.3457,768.45
760.77106,760.2667,774.6
764.96375,767.1687,776.0
768.3096,770.7749,775.9
770.2333,771.4078,774.8
771.3862,770.26404,773.8
771.4217,768.9414,773.8
771.0095,768.6183,774.55
771.1225,769.31793,774.65
771.28076,769.69385,774.85
771.383,769.9705,773.95
771.3707,769.1772,774.65
771.58307,769.5292,773.65
771.5055,768.7824,773.5
771.21265,768.37665,771.55
770.43866,766.5849,770.7
769.38837,765.2412,767.95
767.7152,762.52405,769.05
766.7833,762.6045,770.7
767.16504,764.3357,770.0
767.15405,764.3007,772.1
767.7293,765.9311,771.9
768.6335,766.302,770.15
768.1997,764.8633,770.55
767.80396,764.6258,770.0
767.73254,764.2185,777.1
769.8473,770.2962,780.6
773.19745,775.8606,781.95
775.77515,778.35223,783.5
778.0979,780.01855,781.3
779.3009,778.74634,781.0
779.2979,777.943,782.1
779.7052,778.6513,780.9
